institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
Kotak Mahindra Bank,Self-employed,625,622,CIBIL 600–649,9.35%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
Kotak Mahindra Bank,Salaried,675,677,CIBIL below 700,8.80%,HDFC Bank,8.30%,SBI,8.30%,Axis Bank,8.45%
Kotak Mahindra Bank,Self-employed,675,677,CIBIL below 700,8.95%,HDFC Bank,8.45%,SBI,8.45%,Axis Bank,8.60%
Kotak Mahindra Bank,Salaried,725,737,CIBIL 700–749,8.30%,HDFC Bank,7.80%,SBI,7.85%,Axis Bank,7.95%
Kotak Mahindra Bank,Self-employed,725,737,CIBIL 700–749,8.40%,HDFC Bank,7.95%,SBI,7.95%,Axis Bank,8.10%
Kotak Mahindra Bank,Salaried,775,778,CIBIL 750–799,7.80%,Central Bank of India,7.35%,HDFC Bank,7.35%,Axis Bank,7.50%
Kotak Mahindra Bank,Self-employed,775,778,CIBIL 750–799,7.85%,Central Bank of India,7.40%,HDFC Bank,7.50%,Axis Bank,7.65%
Kotak Mahindra Bank,Salaried,825,839,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Kotak Mahindra Bank,Self-employed,825,839,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
Kotak Mahindra Bank,Salaried,790,790,CIBIL 750–799,7.70%,Central Bank of India,7.25%,HDFC Bank,7.25%,Axis Bank,7.40%
Kotak Mahindra Bank,Self-employed,790,790,CIBIL 750–799,7.75%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
Kotak Mahindra Bank,Salaried,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Kotak Mahindra Bank,Self-employed,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
IDFC First Bank,Salaried,600,600,CIBIL 600–649,10.00%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
