institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
Aavas Financiers,Salaried,825,839,CIBIL 800+,9.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Aavas Financiers,Self-employed,825,839,CIBIL 800+,9.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Aavas Financiers,Salaried,790,790,CIBIL 750–799,9.35%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Aavas Financiers,Self-employed,790,790,CIBIL 750–799,9.85%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Aavas Financiers,Salaried,850,850,CIBIL 800+,9.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Aavas Financiers,Self-employed,850,850,CIBIL 800+,9.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Hinduja Housing Finance,Salaried,600,600,CIBIL 600–649,14.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Hinduja Housing Finance,Self-employed,600,600,CIBIL 600–649,14.50%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
Hinduja Housing Finance,Salaried,625,622,CIBIL 600–649,13.65%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
Hinduja Housing Finance,Self-employed,625,622,CIBIL 600–649,14.15%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
Hinduja Housing Finance,Salaried,675,677,CIBIL below 700,12.90%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
Hinduja Housing Finance,Self-employed,675,677,CIBIL below 700,13.40%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
Hinduja Housing Finance,Salaried,725,737,CIBIL 700–749,11.70%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
Hinduja Housing Finance,Self-employed,725,737,CIBIL 700–749,12.20%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
Hinduja Housing Finance,Salaried,775,778,CIBIL 750–799,10.55%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
Hinduja Housing Finance,Self-employed,775,778,CIBIL 750–799,11.05%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
Hinduja Housing Finance,Salaried,825,839,CIBIL 800+,10.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Hinduja Housing Finance,Self-employed,825,839,CIBIL 800+,10.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Hinduja Housing Finance,Salaried,790,790,CIBIL 750–799,10.35%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Hinduja Housing Finance,Self-employed,790,790,CIBIL 750–799,10.85%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Hinduja Housing Finance,Salaried,850,850,CIBIL 800+,10.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Hinduja Housing Finance,Self-employed,850,850,CIBIL 800+,10.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Home First Finance,Salaried,600,600,CIBIL 600–649,14.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Home First Finance,Self-employed,600,600,CIBIL 600–649,14.50%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
Home First Finance,Salaried,625,622,CIBIL 600–649,13.75%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
Home First Finance,Self-employed,625,622,CIBIL 600–649,14.25%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
Home First Finance,Salaried,675,677,CIBIL below 700,13.15%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
Home First Finance,Self-employed,675,677,CIBIL below 700,13.65%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
Home First Finance,Salaried,725,737,CIBIL 700–749,12.25%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
Home First Finance,Self-employed,725,737,CIBIL 700–749,12.75%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
Home First Finance,Salaried,775,778,CIBIL 750–799,11.40%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
Home First Finance,Self-employed,775,778,CIBIL 750–799,11.90%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
Home First Finance,Salaried,825,839,CIBIL 800+,11.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Home First Finance,Self-employed,825,839,CIBIL 800+,11.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Home First Finance,Salaried,790,790,CIBIL 750–799,11.25%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Home First Finance,Self-employed,790,790,CIBIL 750–799,11.75%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Home First Finance,Salaried,850,850,CIBIL 800+,11.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Home First Finance,Self-employed,850,850,CIBIL 800+,11.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Aadhar Housing Finance,Salaried,600,600,CIBIL 600–649,15.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Aadhar Housing Finance,Self-employed,600,600,CIBIL 600–649,16.00%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
Aadhar Housing Finance,Salaried,625,622,CIBIL 600–649,14.70%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
Aadhar Housing Finance,Self-employed,625,622,CIBIL 600–649,15.70%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
Aadhar Housing Finance,Salaried,675,677,CIBIL below 700,14.10%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
Aadhar Housing Finance,Self-employed,675,677,CIBIL below 700,14.95%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
Aadhar Housing Finance,Salaried,725,737,CIBIL 700–749,13.10%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
Aadhar Housing Finance,Self-employed,725,737,CIBIL 700–749,13.85%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
Aadhar Housing Finance,Salaried,775,778,CIBIL 750–799,12.15%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
Aadhar Housing Finance,Self-employed,775,778,CIBIL 750–799,12.75%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
Aadhar Housing Finance,Salaried,825,839,CIBIL 800+,11.75%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Aadhar Housing Finance,Self-employed,825,839,CIBIL 800+,12.25%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Aadhar Housing Finance,Salaried,790,790,CIBIL 750–799,12.00%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Aadhar Housing Finance,Self-employed,790,790,CIBIL 750–799,12.55%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Aadhar Housing Finance,Salaried,850,850,CIBIL 800+,11.75%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Aadhar Housing Finance,Self-employed,850,850,CIBIL 800+,12.25%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Cholamandalam Finance,Salaried,600,600,CIBIL 600–649,14.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Cholamandalam Finance,Self-employed,600,600,CIBIL 600–649,14.50%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
Cholamandalam Finance,Salaried,625,622,CIBIL 600–649,13.70%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
Cholamandalam Finance,Self-employed,625,622,CIBIL 600–649,14.20%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
Cholamandalam Finance,Salaried,675,677,CIBIL below 700,13.05%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
Cholamandalam Finance,Self-employed,675,677,CIBIL below 700,13.45%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
Cholamandalam Finance,Salaried,725,737,CIBIL 700–749,11.95%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
Cholamandalam Finance,Self-employed,725,737,CIBIL 700–749,12.35%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
Cholamandalam Finance,Salaried,775,778,CIBIL 750–799,10.95%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
Cholamandalam Finance,Self-employed,775,778,CIBIL 750–799,11.25%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
Cholamandalam Finance,Salaried,825,839,CIBIL 800+,10.50%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Cholamandalam Finance,Self-employed,825,839,CIBIL 800+,10.75%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Cholamandalam Finance,Salaried,790,790,CIBIL 750–799,10.80%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Cholamandalam Finance,Self-employed,790,790,CIBIL 750–799,11.05%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Cholamandalam Finance,Salaried,850,850,CIBIL 800+,10.50%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Cholamandalam Finance,Self-employed,850,850,CIBIL 800+,10.75%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
SK Finance,Salaried,600,600,CIBIL 600–649,16.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
SK Finance,Self-employed,600,600,CIBIL 600–649,17.00%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
SK Finance,Salaried,625,622,CIBIL 600–649,15.65%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
SK Finance,Self-employed,625,622,CIBIL 600–649,16.65%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
SK Finance,Salaried,675,677,CIBIL below 700,14.90%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
SK Finance,Self-employed,675,677,CIBIL below 700,15.75%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
SK Finance,Salaried,725,737,CIBIL 700–749,13.70%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
SK Finance,Self-employed,725,737,CIBIL 700–749,14.40%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
SK Finance,Salaried,775,778,CIBIL 750–799,12.55%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
SK Finance,Self-employed,775,778,CIBIL 750–799,13.10%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
SK Finance,Salaried,825,839,CIBIL 800+,12.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
SK Finance,Self-employed,825,839,CIBIL 800+,12.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
SK Finance,Salaried,790,790,CIBIL 750–799,12.35%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
SK Finance,Self-employed,790,790,CIBIL 750–799,12.90%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
SK Finance,Salaried,850,850,CIBIL 800+,12.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
SK Finance,Self-employed,850,850,CIBIL 800+,12.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
MAS Financial,Salaried,600,600,CIBIL 600–649,15.00%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
MAS Financial,Self-employed,600,600,CIBIL 600–649,15.50%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
MAS Financial,Salaried,625,622,CIBIL 600–649,14.65%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
MAS Financial,Self-employed,625,622,CIBIL 600–649,15.15%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
MAS Financial,Salaried,675,677,CIBIL below 700,13.90%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
MAS Financial,Self-employed,675,677,CIBIL below 700,14.40%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
MAS Financial,Salaried,725,737,CIBIL 700–749,12.70%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
MAS Financial,Self-employed,725,737,CIBIL 700–749,13.20%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
MAS Financial,Salaried,775,778,CIBIL 750–799,11.55%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
MAS Financial,Self-employed,775,778,CIBIL 750–799,12.05%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
MAS Financial,Salaried,825,839,CIBIL 800+,11.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
MAS Financial,Self-employed,825,839,CIBIL 800+,11.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
MAS Financial,Salaried,790,790,CIBIL 750–799,11.35%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
MAS Financial,Self-employed,790,790,CIBIL 750–799,11.85%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
MAS Financial,Salaried,850,850,CIBIL 800+,11.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
MAS Financial,Self-employed,850,850,CIBIL 800+,11.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
JM Financial Services,Salaried,600,600,CIBIL 600–649,13.50%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
JM Financial Services,Self-employed,600,600,CIBIL 600–649,14.00%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
JM Financial Services,Salaried,625,622,CIBIL 600–649,13.20%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
JM Financial Services,Self-employed,625,622,CIBIL 600–649,13.70%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
JM Financial Services,Salaried,675,677,CIBIL below 700,12.55%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
JM Financial Services,Self-employed,675,677,CIBIL below 700,13.05%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
JM Financial Services,Salaried,725,737,CIBIL 700–749,11.45%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
JM Financial Services,Self-employed,725,737,CIBIL 700–749,11.95%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
JM Financial Services,Salaried,775,778,CIBIL 750–799,10.45%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
JM Financial Services,Self-employed,775,778,CIBIL 750–799,10.95%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
JM Financial Services,Salaried,825,839,CIBIL 800+,10.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
JM Financial Services,Self-employed,825,839,CIBIL 800+,10.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
JM Financial Services,Salaried,790,790,CIBIL 750–799,10.30%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
JM Financial Services,Self-employed,790,790,CIBIL 750–799,10.80%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
JM Financial Services,Salaried,850,850,CIBIL 800+,10.00%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
JM Financial Services,Self-employed,850,850,CIBIL 800+,10.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Axis Finance,Salaried,600,600,CIBIL 600–649,13.75%,HDFC Bank,8.75%,LIC Housing Finance,9.50%,Bajaj Housing Finance,10.00%
Axis Finance,Self-employed,600,600,CIBIL 600–649,14.00%,HDFC Bank,8.90%,Tata Capital,10.00%,Bajaj Housing Finance,11.00%
Axis Finance,Salaried,625,622,CIBIL 600–649,13.45%,HDFC Bank,8.60%,LIC Housing Finance,9.30%,Bajaj Housing Finance,9.75%
Axis Finance,Self-employed,625,622,CIBIL 600–649,13.70%,HDFC Bank,8.75%,Tata Capital,9.80%,Bajaj Housing Finance,10.70%
Axis Finance,Salaried,675,677,CIBIL below 700,12.80%,HDFC Bank,8.30%,LIC Housing Finance,8.85%,Bajaj Housing Finance,9.25%
Axis Finance,Self-employed,675,677,CIBIL below 700,13.05%,HDFC Bank,8.45%,Tata Capital,9.35%,Bajaj Housing Finance,10.00%
Axis Finance,Salaried,725,737,CIBIL 700–749,11.70%,HDFC Bank,7.80%,LIC Housing Finance,8.15%,Bajaj Housing Finance,8.40%
Axis Finance,Self-employed,725,737,CIBIL 700–749,11.95%,HDFC Bank,7.95%,Tata Capital,8.65%,Bajaj Housing Finance,8.90%
Axis Finance,Salaried,775,778,CIBIL 750–799,10.70%,HDFC Bank,7.35%,LIC Housing Finance,7.45%,Bajaj Housing Finance,7.60%
Axis Finance,Self-employed,775,778,CIBIL 750–799,10.95%,HDFC Bank,7.50%,Bajaj Housing Finance,7.85%,LIC Housing Finance,7.95%
Axis Finance,Salaried,825,839,CIBIL 800+,10.25%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Axis Finance,Self-employed,825,839,CIBIL 800+,10.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
Axis Finance,Salaried,790,790,CIBIL 750–799,10.55%,HDFC Bank,7.25%,LIC Housing Finance,7.35%,Bajaj Housing Finance,7.45%
Axis Finance,Self-employed,790,790,CIBIL 750–799,10.80%,HDFC Bank,7.40%,Bajaj Housing Finance,7.65%,LIC Housing Finance,7.80%
Axis Finance,Salaried,850,850,CIBIL 800+,10.25%,HDFC Bank,7.15%,LIC Housing Finance,7.15%,Bajaj Housing Finance,7.25%
Axis Finance,Self-employed,850,850,CIBIL 800+,10.50%,HDFC Bank,7.30%,Bajaj Housing Finance,7.35%,LIC Housing Finance,7.50%
